threshold,precision,recall,f1,fpr,fnr
0.2862200613397535,0.3291139240506329,1.0,0.4952380952380952,1.0,0.0
0.32434647940741695,0.33015873015873015,1.0,0.49642004773269693,0.9952830188679245,0.0
0.3293862028979732,0.33121019108280253,1.0,0.49760765550239233,0.9905660377358491,0.0
0.33024979968401874,0.33226837060702874,1.0,0.4988009592326139,0.9858490566037735,0.0
0.3311833008740775,0.3333333333333333,1.0,0.5,0.9811320754716981,0.0
0.33614323769072585,0.33440514469453375,1.0,0.5012048192771085,0.9764150943396226,0.0
0.3384751795672845,0.33548387096774196,1.0,0.5024154589371981,0.9716981132075472,0.0
0.3487365821116189,0.3333333333333333,0.9903846153846154,0.49878934624697335,0.9716981132075472,0.009615384615384616
0.34913881050597667,0.3344155844155844,0.9903846153846154,0.5,0.9669811320754716,0.009615384615384616
0.34966393803064694,0.3355048859934853,0.9903846153846154,0.5012165450121655,0.9622641509433962,0.009615384615384616
0.3505264096958598,0.3366013071895425,0.9903846153846154,0.5024390243902439,0.9575471698113207,0.009615384615384616
0.3517338821187261,0.3377049180327869,0.9903846153846154,0.5036674816625918,0.9528301886792453,0.009615384615384616
0.35334452878602496,0.3355263157894737,0.9807692307692307,0.5,0.9528301886792453,0.019230769230769232
0.35357429596391776,0.33663366336633666,0.9807692307692307,0.5012285012285013,0.9481132075471698,0.019230769230769232
0.35846141768132633,0.33774834437086093,0.9807692307692307,0.5024630541871921,0.9433962264150944,0.019230769230769232
0.3653492672081176,0.3388704318936877,0.9807692307692307,0.5037037037037038,0.9386792452830188,0.019230769230769232
0.3656145662027048,0.34,0.9807692307692307,0.504950495049505,0.9339622641509434,0.019230769230769232
0.3675050322638667,0.3411371237458194,0.9807692307692307,0.5062034739454094,0.9292452830188679,0.019230769230769232
0.36831690801336736,0.3389261744966443,0.9711538461538461,0.5024875621890548,0.9292452830188679,0.028846153846153848
0.37099372227209326,0.3400673400673401,0.9711538461538461,0.5037406483790524,0.9245283018867925,0.028846153846153848
0.37147215334183903,0.34121621621621623,0.9711538461538461,0.505,0.9198113207547169,0.028846153846153848
0.3715296802166995,0.3423728813559322,0.9711538461538461,0.506265664160401,0.9150943396226415,0.028846153846153848
0.3717921284061546,0.3435374149659864,0.9711538461538461,0.5075376884422111,0.910377358490566,0.028846153846153848
0.371967005529697,0.3447098976109215,0.9711538461538461,0.5088161209068011,0.9056603773584906,0.028846153846153848
0.37372875181646764,0.3458904109589041,0.9711538461538461,0.51010101010101,0.9009433962264151,0.028846153846153848
0.37542426473723234,0.3436426116838488,0.9615384615384616,0.5063291139240506,0.9009433962264151,0.038461538461538464
0.37653941824544185,0.3448275862068966,0.9615384615384616,0.5076142131979696,0.8962264150943396,0.038461538461538464
0.3781950179671361,0.3460207612456747,0.9615384615384616,0.5089058524173028,0.8915094339622641,0.038461538461538464
