group_feature,group_value,sample_count,positive_prevalence,accuracy,precision,recall,f1,fpr,fnr
sex,M,36,0.25,0.5833333333333334,0.35,0.7777777777777778,0.4827586206896552,0.48148148148148145,0.2222222222222222
sex,F,43,0.3953488372093023,0.5813953488372093,0.4838709677419355,0.8823529411764706,0.625,0.6153846153846154,0.11764705882352941
address,R,20,0.35,0.5,0.4117647058823529,1.0,0.5833333333333334,0.7692307692307693,0.0
address,U,59,0.3220338983050847,0.6101694915254238,0.4411764705882353,0.7894736842105263,0.5660377358490566,0.475,0.21052631578947367
