Model,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc,mean_recall,std_recall,mean_precision,mean_f1
Dummy,0.5,0.0,0.32911706349206343,0.006167571842210139,0.0,0.0,0.0,0.0
LogisticRegression,0.6505748035648369,0.05751511890261646,0.5237735371048495,0.08406805539626237,0.5399999999999999,0.1580952380952381,0.48409090909090907,0.4935673189161561
RandomForest,0.6535527079048673,0.049302185081689154,0.5081938953616254,0.08364299140501504,0.24142857142857146,0.07221158128482805,0.6184981684981685,0.3316290071584189
HistGradientBoosting,0.6370743025892527,0.0493276505023648,0.5013713745574317,0.0856871360151574,0.4238095238095238,0.11703053073756677,0.46296296296296297,0.42971415615792513
